ISPB,Short_Name,Code_Number,Participation_in_Compe,Main_Access,Full_Name,Start_Date
00000000,BCO DO BRASIL S.A.,001,Yes,RSFN,Banco do Brasil S.A.                                                            ,"Apr 22, 2002"
00000208,BRB - BCO DE BRASILIA S.A.,070,Yes,RSFN,BRB - BANCO DE BRASILIA S.A.                                                    ,"Apr 22, 2002"
00038121,Selic                              ,n/a,No,RSFN,Banco Central do Brasil - Selic                                                 ,"Apr 22, 2002"
00038166,Bacen                              ,n/a,No,RSFN,Banco Central do Brasil                                                         ,"Apr 22, 2002"
00122327,SANTINVEST S.A. - CFI,539,No,RSFN,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                        ","Apr 17, 2023"
00204963,CCR SEARA,430,No,RSFN,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA                                 ,"Aug 27, 2021"
00250699,AGK CC S.A.,272,No,RSFN,AGK CORRETORA DE CAMBIO S.A.                                                    ,"Nov 21, 2018"
00315557,CONF NAC COOP CENTRAIS UNICRED,136,Yes,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI,"Jul 28, 2014"
00329598,ÍNDIGO INVESTIMENTOS DTVM LTDA.,407,No,RSFN,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.       ,"Feb 22, 2021"
00360305,CAIXA ECONOMICA FEDERAL,104,Yes,RSFN,CAIXA ECONOMICA FEDERAL                                                         ,"Apr 22, 2002"
00394460,STN                                ,n/a,No,RSFN,Secretaria do Tesouro Nacional - STN                                            ,"Apr 22, 2002"
00416968,BANCO INTER,077,Yes,RSFN,Banco Inter S.A.                                                                ,"Aug 15, 2008"
00460065,COLUNA S.A. DTVM,423,No,RSFN,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS                       ,"Jun 07, 2021"
00517645,BCO RIBEIRAO PRETO S.A.,741,Yes,RSFN,BANCO RIBEIRAO PRETO S.A.                                                       ,"Apr 22, 2002"
00556603,BANCO BARI S.A.,330,No,RSFN,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.                               ,"Jul 22, 2019"
00558456,BCO CETELEM S.A.,739,Yes,RSFN,Banco Cetelem S.A.                                                              ,"Apr 22, 2002"
00714671,EWALLY IP S.A.,534,No,RSFN,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.                                            ,"Apr 03, 2023"
00795423,BANCO SEMEAR,743,Yes,RSFN,Banco Semear S.A.                                                               ,"Apr 22, 2002"
00806535,PLANNER CV S.A.,100,No,RSFN,Planner Corretora de Valores S.A.                                               ,"Apr 27, 2011"
00954288,FDO GARANTIDOR CRÉDITOS            ,541,No,RSFN,FUNDO GARANTIDOR DE CREDITOS - FGC                                              ,"Mar 08, 2023"
00997185,BCO B3 S.A.,096,No,RSFN,Banco B3 S.A.                                                                   ,"Nov 12, 2004"
01023570,BCO RABOBANK INTL BRASIL S.A.,747,No,RSFN,Banco Rabobank International Brasil S.A.                                        ,"Apr 22, 2002"
01027058,CIELO IP S.A.,362,No,RSFN,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO                                           ,"Jul 17, 2020"
01073966,CCR DE ABELARDO LUZ,322,Yes,RSFN,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz                ,"Jun 14, 2019"
01181521,BCO COOPERATIVO SICREDI S.A.,748,Yes,RSFN,BANCO COOPERATIVO SICREDI S.A.                                                  ,"Apr 22, 2002"
01330387,CREHNOR LARANJEIRAS,350,No,RSFN,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,"May 27, 2020"
01522368,BCO BNP PARIBAS BRASIL S A,752,Yes,RSFN,Banco BNP Paribas Brasil S.A.                                                   ,"Apr 22, 2002"
01658426,CECM COOPERFORTE,379,No,RSFN,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU,"Sep 01, 2020"
01701201,KIRTON BANK,399,No,RSFN,Kirton Bank S.A. - Banco Múltiplo                                               ,"Apr 22, 2002"
01852137,BCO BRASILEIRO DE CRÉDITO S.A.,378,No,RSFN,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA                                   ,"Sep 11, 2020"
01858774,BCO BV S.A.,413,No,RSFN,BANCO BV S.A.                                                                   ,"May 21, 2021"
02038232,BANCO SICOOB S.A.,756,Yes,RSFN,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB                                    ,"Apr 22, 2002"
02276653,TRINUS CAPITAL DTVM,360,No,RSFN,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.              ,"Jul 16, 2020"
